[2026-06-04 16:26:33] | 时间戳1780561593.52048 | UDP服务端启动，监听9999
[2026-06-04 16:26:50] | 时间戳1780561610.291245 | ('172.18.192.1', 64464) 连接请求，学号尾2119，校验通过
[2026-06-04 16:26:50] | 时间戳1780561610.290106 | 客户端发送连接建立请求
[2026-06-04 16:26:50] | 时间戳1780561610.308032 | 连接建立成功，可以发送业务数据
[2026-06-04 16:26:58] | 时间戳1780561618.4172 | 第1次发送报文：啊u书店关于
[2026-06-04 16:26:58] | 时间戳1780561618.418933 | ('172.18.192.1', 64464) 收到数据[啊u书店关于]，随机丢包，放弃应答，随机值0.111
[2026-06-04 16:26:59] | 时间戳1780561619.427288 | 第1次发包超时，即将重发
[2026-06-04 16:26:59] | 时间戳1780561619.432776 | 第2次发送报文：啊u书店关于
[2026-06-04 16:26:59] | 时间戳1780561619.434288 | ('172.18.192.1', 64464) 收到数据[啊u书店关于]，随机丢包，放弃应答，随机值0.077
[2026-06-04 16:27:00] | 时间戳1780561620.475716 | 第2次发包超时，即将重发
[2026-06-04 16:27:00] | 时间戳1780561620.475716 | 第3次发送报文：啊u书店关于
[2026-06-04 16:27:00] | 时间戳1780561620.478828 | ('172.18.192.1', 64464) 收到数据[啊u书店关于]，正常返回应答，随机值0.971
[2026-06-04 16:27:00] | 时间戳1780561620.509455 | 收到服务端应答：服务端已收到数据
[2026-06-04 16:40:45] | 时间戳1780562445.072143 | 第1次发送报文：C:\Users\32738\Anaconda3\Scripts\conda.EXE activate base
[2026-06-04 16:40:35] | 时间戳1780562435.623301 | ('172.18.192.1', 64464) 收到数据[C:\Users\32738\Anaconda3\Scripts\conda.EXE activate base]，正常返回应答，随机值0.902
[2026-06-04 16:40:45] | 时间戳1780562445.118422 | 收到服务端应答：服务端已收到数据
[2026-06-04 16:41:31] | 时间戳1780562491.890942 | UDP服务端启动，监听9999
[2026-06-04 16:41:46] | 时间戳1780562506.213922 | 客户端发送连接建立请求
[2026-06-04 16:41:36] | 时间戳1780562496.715584 | ('172.18.192.1', 51072) 连接请求，学号尾2119，校验通过
[2026-06-04 16:41:46] | 时间戳1780562506.237975 | 连接建立成功，可以发送业务数据
[2026-06-04 16:42:13] | 时间戳1780562533.43294 | 第1次发送：你好我是pkf，我在完成课设任务，你在干什么
[2026-06-04 16:42:03] | 时间戳1780562523.966545 | ('172.18.192.1', 51072) 收到数据[你好我是pkf，我在完成课设任务，你在干什么]，正常返回应答，随机值0.211
[2026-06-04 16:42:13] | 时间戳1780562533.458551 | 收到服务端应答：服务端已收到数据
